Metabolite,Ylypol_F535_R1_mal_01,Ylypol_F535_R2_mal_02,Ylypol_F535_R3_mal_03,Ylypol_F570_R1_mal_04,Ylypol_F570_R2_mal_05,Ylypol_F570_R3_mal_06,Ylypol_F580_R1_mal_07,Ylypol_F580_R2_mal_08,Ylypol_F580_R3_mal_09,Ylypol_F584_R1_mal_10,Ylypol_F584_R2_mal_11,Ylypol_F584_R3_mal_12,Ylypol_glu_F535_R1_13,Ylypol_glu_F535_R2_14,Ylypol_glu_F535_R3_15,Ylypol_glu_F570_R1_16,Ylypol_glu_F570_R2_17,Ylypol_glu_F570_R3_18,Ylypol_glu_F580_R1_19,Ylypol_glu_F580_R2_20,Ylypol_glu_F580_R3_21,Ylypol_glu_F584_R1_22,Ylypol_glu_F584_R2_23,Ylypol_glu_F584_R3_24
lactic acid,1131748.649,1360121.8290000001,499372.9732,1080324.857,858107.1531,1095243.23,921920.9332,1211781.049,872778.1103,1145142.922,1068454.998,1004260.828,1339255.164,1247752.6840000001,1337034.84,1544145.0080000001,2356105.55,2480554.971,1074786.807,1198865.23,1532035.3069999998,1466740.804,1704659.814,1213728.311
lactose,412968.8103,571834.1407,350474.0237,495537.7452,456631.5555,623814.7891,426317.3901,666097.3695,230702.5479,683473.8482,597622.802,575554.3478,772060.4452,1342470.2769999998,1147723.893,1718982.1919999998,2488126.3109999998,2056776.744,1030451.582,741847.3186,1157247.365,1049093.9409999999,1530387.5480000002,735100.6897
L-alanine,80167346.91,91891568.93,97809775.39,76114002.39,75048591.59,66423555.27,64031667.11,70412191.1,57908025.19,88815128.68,73946091.32,70763501.72,65474700.78,93117180.23,86251020.13,99992799.44,123423551.4,127439798.4,94451521.9,66958519.05,83268435.72,90256999.3,84632898.48,84486203.94
L-aspartic acid,50331295.76,78556139.38,43955922.3,95677940.54,74354873.45,82663023.57,76909776.64,90166150.7,62021174.19,86038241.32,67777230.63,88742558.87,26340543.6,25196015.45,26341949.83,23796491.58,4377018.687,10891731.35,26569645.33,23022960.19,28823502.45,19596973.56,16485704.66,11410951.87
L-glutamic acid,140314639.6,191532542.4,129829612.1,194553469.5,173067922.2,204321705.6,158376828.3,202277230.4,149734292.3,193089635.9,201959280.6,171854607.6,135587134.6,168433371.4,139766275.6,169733902.6,46471853.08,157597682.0,143077213.7,121364705.4,141356155.4,147041912.3,152203764.4,100465078.0
L-glutathione reduced,0.0,0.0,523231.6665,0.0,531695.3416,439492.6516,1258.220522,0.0,601850.4863,27139.96014,47947.98885,0.0,940450.5503,720690.2742,987699.5265,736876.2885,0.0,291226.7695,984370.3118,804814.2298,1654014.159,0.0,7888.311887999999,100190.3135
linoleic acid,1062677.508,1073078.7920000001,1005451.032,2047461.55,3693515.381,2286879.433,912806.1275,1721242.033,302715.7798,4470170.015,540452.0015,312487.9696,1888241.116,1779201.504,1100278.762,737104.8149,1182753.897,216976.5434,984184.8116,5022677.893,1265432.317,3458718.11,3402592.44,991128.2429
L-isoleucine,0.0,2101500.264,2205412.821,930661.3705,450199.9607,320096.4881,118479.3365,486339.8262,187438.2423,1740382.9619999998,1364957.7780000002,814183.9483,25445.40421,96712.71432999999,27886.566089999997,49870.03443,271543.9001,1668168.802,224639.9407,28714.719530000002,30164.282689999996,42679.06359,74277.09002,413767.1713
L-leucine,985150.0,470942.0,1471129.0,2976897.0,6601774.0,1117861.0,835940.0,1169986.0,1018102.0,10041549.0,5332028.0,3907937.0,301580.0,962498.0,551614.0,1364506.0,9354536.0,21655248.0,4885741.0,486857.0,280601.0,1102250.0,1002315.0,9072453.0
L-lysine,711453.8809999999,286157.8633,2653536.925,678446.1207,647519.5086,356405.7926,1129332.332,577762.4705,874879.9663,919813.7463,1555889.736,1634698.642,527405.0525,259373.5599,280411.9898,307999.4512,57082.52172999999,167598.5345,1004342.344,504871.4704,1040855.9940000001,51096.9975,74911.82451,243507.6468
