Metabolite,Ylypol_F535_R1_mal_01,Ylypol_F535_R2_mal_02,Ylypol_F535_R3_mal_03,Ylypol_F570_R1_mal_04,Ylypol_F570_R2_mal_05,Ylypol_F570_R3_mal_06,Ylypol_F580_R1_mal_07,Ylypol_F580_R2_mal_08,Ylypol_F580_R3_mal_09,Ylypol_F584_R1_mal_10,Ylypol_F584_R2_mal_11,Ylypol_F584_R3_mal_12,Ylypol_glu_F535_R1_13,Ylypol_glu_F535_R2_14,Ylypol_glu_F535_R3_15,Ylypol_glu_F570_R1_16,Ylypol_glu_F570_R2_17,Ylypol_glu_F570_R3_18,Ylypol_glu_F580_R1_19,Ylypol_glu_F580_R2_20,Ylypol_glu_F580_R3_21,Ylypol_glu_F584_R1_22,Ylypol_glu_F584_R2_23,Ylypol_glu_F584_R3_24
unknown_079,504958.7893,467565.8511,572447.1041,124318.4137,454196.7319,752794.7766,441282.8725,168708.6748,106880.4129,147612.2499,127045.4512,92306.37647999999,1283256.571,1599193.9519999998,1707232.3059999999,1734331.948,598442.0198,1291138.076,2013299.935,1611434.449,1561033.8469999998,998379.7118,1099798.591,1907663.615
unknown_080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2933172.353,1968164.9719999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unknown_081,213221.6315,191887.6474,146938.2376,155374.138,56411.611039999996,124507.663,116267.6547,74034.97386,51368.96959,203415.0658,137904.5417,114742.8971,91996.6729,74210.63382,62695.328910000004,159667.5005,57691.119170000005,167207.04,85000.01707,58048.134360000004,57946.3499,9046.674387000001,85094.2359,48776.0287
unknown_082,15542575.67,31038674.34,24830925.55,28429674.36,26324223.0,30422656.46,32796596.53,23786097.37,25373104.86,21821644.18,32832809.58,19200943.41,10262869.8,15376501.82,13244888.08,21736879.07,11714370.43,16835272.6,13995728.16,10720444.08,12828323.1,17658691.69,13301983.06,16413207.91
unknown_083,306578.4012,486942.1368,382666.2156,698261.2047,1439733.299,736771.8306,303382.0072,978792.4998,566274.4341,955247.2533,841725.6125,498461.9343,319901.488,364135.5246,229449.2505,107334.9577,536791.1048,714080.3961,100967.0622,642106.4895,189327.4853,386968.1226,360464.0529,89904.9948
unknown_084,317288.3778,104203.6454,336891.5105,191944.3125,0.0,146998.9991,163708.6585,202726.0076,160912.9057,24459.0,116892.7877,149592.3753,0.0,0.0,180505.9484,218721.6053,776918.1722,252954.3677,180864.8523,0.0,375770.7754,153364.0354,0.0,104650.7768
unknown_085,0.0,0.0,0.0,0.0,163051.3707,899864.0793,0.0,762612.7932,531483.5993,906189.4123,0.0,1002677.3570000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unknown_086,1004897.735,935653.853,576882.8498,1476778.4219999998,1344115.9340000001,1678834.881,1119699.77,1344157.7140000002,881684.2592,1411449.8869999999,1574588.121,962783.9022,847289.9856,929596.2744,893703.3939,1234917.7140000002,1943712.741,1287593.325,837558.7366,669128.2681,1046980.391,951108.8998,1147176.377,621323.7179
unknown_087,90666.60951000001,226640.9641,130574.9726,235810.0546,89917.74121000001,166013.6096,108105.8788,100523.4927,90405.98647999999,121417.8395,135694.3209,167066.9725,288804.88,286164.0956,93250.94653,85454.98908,118032.0994,112948.8334,145854.8334,207818.8355,73991.23212999999,181810.2377,318908.3635,274806.9877
unknown_088,78565.70362,557843.3488,137769.5816,156842.9169,18566.88045,392521.578,360731.7286,412330.3924,158006.9126,138057.913,443691.6042,97904.05914,0.0,367244.953,291945.1025,453003.4757,559610.8652,55773.3723,0.0,74109.78094,75882.42146,297653.5364,91319.0169,266944.0
unknown_089,196704.9784,187548.3669,132515.2757,342328.4996,300819.127,287106.2012,189260.0519,230513.6446,151805.1684,331543.833,241659.5807,338815.8433,240096.0591,260235.444,232634.1405,249504.8994,598562.2621,312628.0463,131307.9302,121406.93199999999,169917.9515,356624.2297,361724.292,172798.8879
unknown_090,189138.9439,488112.3311,131632.6862,828486.9046,642111.4459,970422.4151,726583.6949,850611.8116,596484.552,1063064.832,891502.6273,581258.3314,1170308.345,778866.5083,965611.5096,1175575.572,1444282.6030000001,1007540.2009999999,997201.1757,375682.3202,1301161.659,1003843.22,1164824.66,561975.839
unknown_091,545077.9031,120718.4178,486384.3126,683241.2037,589378.9958,915244.8008,601772.1553,875661.9497,502479.0236,856488.0490000001,835217.0491,737946.9399,647228.4801,858855.6364,680614.7994,743265.7188,1444989.959,809286.3647,610176.0354,433697.742,835681.8272,340576.7016,548203.1633,316428.9534
unknown_092,0.0,191020.367,237143.3664,144763.8817,11531.9429,128024.96699999999,83692.82561,47906.19458,20185.17417,106313.5022,122857.685,224577.02899999998,120936.8391,152603.5022,225065.7116,127059.5291,58907.0,100790.1172,255001.2142,195392.8127,222944.688,107722.3036,140126.4054,157356.0845
unknown_093,349052.8442,702761.1767,644017.3898,593981.8959,1479477.4440000001,2238097.2290000003,776937.2639,3302352.27,1528001.407,3696162.955,1651775.216,2090910.189,0.0,619523.8341,236827.2583,498573.4618,143506.8967,539380.7697,73103.09761,61631.43325,234286.9587,351133.6977,348363.1034,4679.513074
unknown_094,599783.9406,567743.0521,884734.1014,569308.0343,202413.0214,235009.1825,592445.6093,420872.338,685774.2335,801796.1122,797560.3629,2661127.3430000003,1081007.425,249136.7823,518164.7727,380040.8692,0.0,472215.4916,983439.5283,928223.4814,1054960.1809999999,34530.601,303162.702,1200873.722
unknown_095,1025061.645,1020284.288,1471915.687,1067204.094,522109.1811,488259.9526,56315.418860000005,696492.3205,63916.6658,1479076.2380000001,1483608.386,4274990.571,1804623.041,521631.6132,939652.8278,35478.5795,114669.5781,46644.21983,1623760.9780000001,1529898.5369999998,1842058.9330000002,820043.6217,207764.3876,2020543.0380000002
unknown_096,0.0,0.0,0.0,578099.5962,788586.3159,922263.635,578185.3021,877564.4392,462728.3467,777669.9878,634508.1667,585841.8362,0.0,411566.7768,159172.593,965900.6371,810774.9945,723665.479,0.0,0.0,0.0,550458.8094,692759.7096,341211.5145
unknown_097,541517.1259,263546.3905,600357.9493,697344.2436,940303.1681,794920.6991,675576.708,1205307.156,583559.8385,1118015.187,901545.1436,765230.0466,502599.3803,534063.7754,500403.8598,1128940.006,1347253.9319999998,1213037.028,189498.0674,482449.8871,486434.4697,992718.7220000001,759088.5775,371071.3918
unknown_098,1221656.732,179274.0267,1427431.4630000002,785055.6085,860849.2347,665154.1517,648330.8201,1144205.762,540058.3752,1117912.2,870744.1479999999,718668.3679,449120.0459,650894.0356,717214.9855,823932.1539,1640685.646,1305642.443,564632.5628,439830.9841,735917.2005,858934.1495,1098945.396,517356.0169
unknown_099,261219.4584,398600.2969,297408.1257,338330.3263,283348.4522,359734.4954,0.0,331579.0865,0.0,213043.5202,167709.511,0.0,0.0,184477.9974,101536.9876,195159.7869,168234.7385,135163.8698,0.0,154805.0,72145.87385,128758.23800000001,159714.854,71435.85353
unknown_100,0.0,0.0,198142.06699999998,621601.4331,611142.9109,891776.2629999999,537979.2686,1058233.467,313047.1422,847581.9254,155876.9552,178709.3289,93750.78267999999,323154.5808,184342.7783,381025.4823,63738.47779,174523.0328,309041.834,265564.6731,128443.5855,249258.1697,278820.0346,87682.09251
unknown_101,578791.8175,531093.4183,517455.3249,779833.0241,678734.4489,855381.3802,870774.7658,911033.1616,704668.1575,923637.6304,772239.9804,637714.0181,333147.9578,517004.8625,445102.2827,80923.51176000001,723413.2209999999,618433.2321,333106.6593,418075.8959,363180.63,584110.8741,94634.91648,439333.9326
unknown_102,61803.87906,51354.61559,61155.517060000006,85377.02406,46913.15087,122231.881,116063.8157,123584.0127,94842.68999,141298.2701,172528.9445,116604.4204,200917.5211,212893.1323,188446.1375,244241.2773,345913.2799,312152.0637,159580.9077,124490.5549,166342.6685,145348.1946,195371.2758,157487.5037
unknown_103,175739.6148,193616.9456,284518.1714,188781.843,236058.6738,278686.2988,210809.2235,321809.5326,133578.6976,456062.8418,312111.0608,300979.3989,362714.32,473274.5988,390711.8093,496153.0222,622141.3398,560674.4870000001,393170.1501,517023.3736,414072.6441,431654.5869,527365.5064,306805.2559
unknown_104,325772.1734,7781057.915,4890994.956,1598696.834,6911436.522999999,72920.28607,6858050.704,132153.0,107967.8718,216023.5935,487476.6079,123975.0,123066.7981,10176676.85,9974061.795,10014625.02,12246797.8,10748336.34,64209.987720000005,1171514.861,8737564.67,9435657.837000001,97676.12018,196736.5109
unknown_105,361952.6937,0.0,0.0,861744.6259,618839.1510000001,387720.1957,303602.164,894269.8604,327888.6404,784231.4238,276531.8641,912561.0181,549332.4254,878821.4014,759383.5906,1115454.228,1160756.364,1291585.154,721987.772,462683.0529,839413.7134,978312.9386,1083221.362,468763.0327
unknown_106,76162.44909,68700.74719,81028.29804,239574.6066,169671.4494,181289.1601,285513.4591,152288.3221,237755.806,116480.3626,209661.5286,89923.09891,63334.21182999999,74840.74555,96001.80152000001,205883.7612,225776.7443,124414.5715,69921.27152000001,59491.3032,103085.6015,334496.0911,304058.8303,95367.91292999999
unknown_107,162473.6032,180942.5403,147860.9364,248012.9312,211543.7247,170163.4806,101367.5352,205971.3517,168187.3198,388669.5248,306099.1176,311755.5328,116911.457,262043.3139,265840.0943,333489.1798,306420.4812,455150.2294,217487.4788,223112.717,181577.4942,438860.8271,440778.7733,273879.1576
unknown_108,0.0,0.0,0.0,149774.5682,0.0,203395.098,0.0,179613.0322,0.0,271994.2978,0.0,0.0,0.0,308446.1607,191209.1177,551344.3003,397696.6632,793268.7431,184692.3401,0.0,184618.6323,315511.2865,663755.0905,343567.0942
unknown_109,375017.8194,444274.3718,298969.7965,132572.4729,0.0,43166.1172,95528.61534,0.0,498322.601,172815.9485,614293.9212,629266.5245,0.0,231736.3603,75214.16665,313367.1829,203320.1164,266670.5948,106507.524,88167.95358,280403.5251,519031.0253,194970.8162,64766.448229999995
unknown_110,541614.4036,309188.6122,630790.5193,246218.4114,938568.0141,422267.1438,219091.5395,245526.7465,0.0,665457.5703,0.0,0.0,417100.7075,300101.2199,128877.5146,90006.01698,160043.7372,0.0,146396.7754,747093.1495,283242.094,819065.9174,644735.9986,107553.0255
unknown_111,158316.8885,74431.91227999999,273641.4633,49223.82408,157004.8132,0.0,0.0,0.0,0.0,100949.6559,0.0,0.0,81316.23482,74815.42432,0.0,0.0,42443.711839999996,0.0,0.0,213346.5427,70103.16269,356905.5133,221967.8118,0.0
