,fluxes
EX_so4_LPAREN_e_RPAREN_,0.0
EX_spmd_LPAREN_e_RPAREN_,0.0
EX_sprm_LPAREN_e_RPAREN_,0.0
EX_srb_L_LPAREN_e_RPAREN_,0.0
EX_succ_LPAREN_e_RPAREN_,0.0
EX_thm_LPAREN_e_RPAREN_,0.0
EX_thmmp_LPAREN_e_RPAREN_,0.0
EX_thmpp_LPAREN_e_RPAREN_,0.0
EX_thr_L_LPAREN_e_RPAREN_,0.0
EX_thym_LPAREN_e_RPAREN_,0.0
EX_thymd_LPAREN_e_RPAREN_,0.0
EX_tre_LPAREN_e_RPAREN_,0.0
EX_trp_L_LPAREN_e_RPAREN_,0.0
EX_ttdca_LPAREN_e_RPAREN_,0.0
EX_tyr_L_LPAREN_e_RPAREN_,0.0
EX_ura_LPAREN_e_RPAREN_,0.0
EX_urea_LPAREN_e_RPAREN_,0.0
EX_uri_LPAREN_e_RPAREN_,0.0
EX_val_L_LPAREN_e_RPAREN_,0.0
EX_xan_LPAREN_e_RPAREN_,0.0
EX_xtsn_LPAREN_e_RPAREN_,0.0
EX_xyl_D_LPAREN_e_RPAREN_,0.0
EX_xylt_LPAREN_e_RPAREN_,0.0
EX_zymst_LPAREN_e_RPAREN_,0.0
FA100tp,0.0
FA120ACPH,0.0
FA120ACPtm,0.0
FA120tp,0.0
FA140ACPH,0.0
FA140ACPtm,0.0
FA140COAabcp,0.0
FA140tp,0.0
FA141ACPH,0.0
FA141ACPtm,0.0
FA141COAabcp,0.0
FA141tp,0.0
FA160ACPH,0.0
FA160ACPtm,0.0
FA160COAabcp,0.0
FA160tp,0.0
FA161ACPH,0.0
FA161ACPtm,0.0
FA161COAabcp,0.0
FA161tp,0.0
FA180ACPH,0.0
FA180ACPtm,0.0
FA180COAabcp,0.0
FA181ACPH,0.0
FA181ACPtm,0.0
FA181COAabcp,0.0
FA182ACPH,0.0
FA182ACPtm,0.0
FA182COAabcp,0.0
FA240tp,0.0
FA260tp,0.0
FA80tp,0.0
FACOAL100p,0.0
FACOAL120p,0.0
FACOAL140,0.0
FACOAL140p,0.0
FACOAL141,0.0
FACOAL141p,0.0
FACOAL160,0.0
FACOAL161,0.0
FACOAL161p,0.0
FACOAL180,0.0
FACOAL181,0.0
FACOAL182,0.0
FACOAL240p,0.0
FACOAL260p,0.0
FACOAL80p,0.0
FADFMNtm,0.0
FALDH,0.0
FAO141p_even,0.0
FAO141p_odd,0.0
FAO161p_even,0.0
FAO161p_odd,0.0
FAO181p_even,0.0
FAO181p_odd,0.0
FAO182p_eveneven,0.0
FAO182p_evenodd,0.0
FAO182p_oddodd,0.0
FAO240p,0.0
FAO80p,0.0
FAS100,0.0
FAS100ACPm,0.0
PGI,10.0
FAS120,0.0
FAS120ACPm,0.0
PGK,-20.000000000000007
FAS140,0.0
FAS140ACPm,0.0
PGM,-20.000000000000007
FAS141ACPm,0.0
FAS160,0.0
FAS160ACPm,0.0
PYK,20.000000000000007
FAS161ACPm,0.0
FAS180,0.0
FAS180ACPm,0.0
TPI,10.000000000000004
FAS181ACPm,0.0
FAS182ACPm,0.0
FAS240_L,0.0
